ticker,strategy,basket,period_months,price_then,price_now,actual_return,upside,growth,accel,valuation,long_term,cash_runway,conviction,entry,momentum,profitability,fragility,downside
CEG,hold_forever,Nuclear,24,215.55,251.65,16.75,0.0,3.9,50.0,99.6,50.0,50.0,100.0,9.0,100.0,0.0,0.0,0.0
TLN,cycle,Nuclear,24,119.11,358.74,201.18,0.0,71.8,50.0,100.0,50.0,50.0,85.0,0.0,100.0,0.0,-5.0,-5.0
NNE,catalyst,Nuclear,24,15.73,23.94,52.19,50.0,50.0,50.0,50.0,50.0,50.0,60.0,0.0,50.0,0.0,-10.0,-8.0
DNN,cycle,Nuclear,24,2.02,2.95,46.04,7.9,0.0,50.0,5.0,100.0,50.0,63.8,32.0,80.0,0.0,-5.0,-5.0
UEC,cycle,Nuclear,24,6.12,10.65,74.02,61.4,0.0,0.0,5.0,75.0,50.0,100.0,40.9,30.0,0.0,-5.0,-5.0
QUBT,catalyst,Quantum,24,0.57,9.51,1553.04,50.0,60.0,50.0,5.0,5.0,50.0,60.0,100.0,10.0,0.0,-10.0,-8.0
ARQQ,catalyst,Quantum,24,7.5,12.49,66.53,0.0,0.0,50.0,5.0,5.0,50.0,100.0,100.0,10.0,0.0,-10.0,-8.0
APP,cycle,SpecGrowth,24,78.58,520.84,562.81,21.4,9.2,50.0,63.9,75.0,50.0,100.0,12.5,100.0,0.0,0.0,0.0
SMCI,cycle,Industrial,24,90.53,40.64,-55.11,100.0,100.0,100.0,97.3,75.0,50.0,82.5,29.1,100.0,0.0,-5.0,-5.0
CCJ,hold_forever,Nuclear,36,29.41,102.27,247.77,7.4,50.0,50.0,50.0,100.0,50.0,82.5,21.3,100.0,0.0,-5.0,-5.0
SRUUF,cycle,Nuclear,36,12.99,18.46,42.12,50.0,50.0,50.0,50.0,50.0,50.0,24.0,13.8,100.0,0.0,-5.0,-5.0
LEU,cycle,Nuclear,36,31.47,156.02,395.77,0.0,50.0,50.0,50.0,25.0,50.0,100.0,76.9,40.0,0.0,-5.0,-5.0
SMR,catalyst,Nuclear,36,6.59,10.0,51.75,100.0,50.0,50.0,50.0,50.0,50.0,63.8,100.0,10.0,0.0,-10.0,-8.0
OKLO,catalyst,Nuclear,36,10.54,56.48,435.86,50.0,50.0,50.0,50.0,50.0,50.0,24.0,15.2,100.0,0.0,-10.0,-8.0
IONQ,cycle,Quantum,36,10.81,56.69,424.42,0.0,50.0,50.0,50.0,50.0,50.0,75.0,2.3,100.0,0.0,-10.0,-8.0
QBTS,catalyst,Quantum,36,2.0,23.52,1076.0,100.0,50.0,50.0,50.0,50.0,50.0,100.0,86.8,40.0,0.0,-10.0,-8.0
RGTI,catalyst,Quantum,36,1.08,19.69,1723.15,100.0,50.0,50.0,50.0,50.0,50.0,100.0,86.7,40.0,0.0,-10.0,-8.0
CRWD,hold_forever,Cyber,36,144.28,644.93,347.0,42.6,50.0,50.0,50.0,50.0,50.0,100.0,54.2,100.0,0.0,0.0,0.0
PANW,hold_forever,Cyber,36,125.79,260.52,107.1,100.0,50.6,50.0,60.3,100.0,50.0,100.0,0.0,100.0,0.0,0.0,0.0
